=== society-table48.xlsx ===
Cell D1 | value='Int# in LiST' | fill=FFFFFF00 | rows=[0] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell C81 | value='SAM - treatment for severe acute malnutrition' | fill=FF00B050 | rows=[80] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D81 | value='77' | fill=5 | rows=[80] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E81 | value='69' | fill=5 | rows=[80] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C82 | value='MAM - treatment for moderate acute malnutrition' | fill=FF00B050 | rows=[81] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D82 | value='78' | fill=5 | rows=[81] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E82 | value='70' | fill=5 | rows=[81] | cols=[4] | col_header=False | row_header=False | metadata=False

=== society-table48.xlsx ===
Cell D1 | value='Int# in LiST' | fill=FFFFFF00 | rows=[0] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E1 | value='Int#' | fill=FFFFFF00 | rows=[0] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell A2 | value='Family Planning' | fill=FF00B050 | rows=[1, 2, 3, 4, 5, 6, 7, 8] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C2 | value='FP - Condoms' | fill=FF00B050 | rows=[1] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D2 | value='1' | fill=9 | rows=[1] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E2 | value='2' | fill=9 | rows=[1] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C3 | value='FP - Female Sterilization' | fill=FF00B050 | rows=[2] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D3 | value='2' | fill=9 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='6' | fill=9 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C4 | value='FP - Male Sterilization' | fill=FF00B050 | rows=[3] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D4 | value='3' | fill=9 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='7' | fill=9 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C5 | value='FP - Injectables' | fill=FF00B050 | rows=[4] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D5 | value='4' | fill=9 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='3' | fill=9 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C6 | value='FP - Implants' | fill=FF00B050 | rows=[5] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D6 | value='5' | fill=9 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='4' | fill=9 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C7 | value='FP - IUD' | fill=FF00B050 | rows=[6] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D7 | value='6' | fill=9 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='5' | fill=9 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C8 | value='FP - Pills' | fill=FF00B050 | rows=[7] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D8 | value='7' | fill=9 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='1' | fill=9 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C9 | value='FP - Traditional Methods' | fill=FF00B050 | rows=[8] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D9 | value='8' | fill=9 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='8' | fill=9 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A10 | value='Periconceptual' | fill=FF00B050 | rows=[9, 10, 11, 12, 13] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C10 | value='Folic acid fortification' | fill=FF00B050 | rows=[9] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D10 | value='9' | fill=4 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='Not Incl.' | fill=4 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C11 | value='Safe abortion services' | fill=FF00B050 | rows=[10] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D11 | value='10' | fill=4 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='34' | fill=4 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C12 | value='Post abortion case management' | fill=FF00B050 | rows=[11] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D12 | value='11' | fill=4 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='35' | fill=4 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C13 | value='Ectopic pregnancy case management' | fill=FF00B050 | rows=[12] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D13 | value='12' | fill=4 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='38' | fill=4 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C14 | value='Iron fortification' | fill=FF00B050 | rows=[13] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D14 | value='13' | fill=4 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='Not Incl.' | fill=4 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A15 | value='Antenatal Care' | fill=FF00B050 | rows=[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C15 | value='Antenatal care (at least 1 visit)' | fill=FF00B050 | rows=[14] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D15 | value='14' | fill=5 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='9' | fill=5 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C16 | value='Antenatal care (at least 4 visits)' | fill=FF00B050 | rows=[15] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D16 | value='15' | fill=5 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='10' | fill=5 | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C17 | value='TT - Tetanus toxoid vaccination' | fill=FF00B050 | rows=[16] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D17 | value='16' | fill=5 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='11' | fill=5 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C18 | value='IPTp - Intermittent preventive treatment of malaria during pregnancy' | fill=FF00B050 | rows=[17] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D18 | value='17' | fill=5 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='12' | fill=5 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C19 | value='Syphilis detection and treatment' | fill=FF00B050 | rows=[18] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D19 | value='18' | fill=5 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='13' | fill=5 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C20 | value='Calcium supplementation' | fill=FF00B050 | rows=[19] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D20 | value='19' | fill=5 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='14' | fill=5 | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C21 | value='Iron supplementation in pregnancy' | fill=FF00B050 | rows=[20] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D21 | value='20' | fill=5 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='15' | fill=5 | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C22 | value='Multiple micronutrient supplementation in pregnancy' | fill=FF00B050 | rows=[21] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D22 | value='21' | fill=5 | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E22 | value='16' | fill=5 | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C23 | value='Balanced energy supplementation' | fill=FF00B050 | rows=[22] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D23 | value='22' | fill=5 | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E23 | value='17' | fill=5 | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C24 | value='Hypertensive disorder case management' | fill=FF00B050 | rows=[23] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D24 | value='23' | fill=5 | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E24 | value='18' | fill=5 | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C25 | value='Diabetes case management' | fill=FF00B050 | rows=[24] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D25 | value='24' | fill=5 | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E25 | value='19' | fill=5 | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C26 | value='Malaria case management' | fill=FF00B050 | rows=[25] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D26 | value='25' | fill=5 | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E26 | value='20' | fill=5 | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C27 | value='MgSO4 management of pre-eclampsia' | fill=FF00B050 | rows=[26] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D27 | value='26' | fill=5 | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E27 | value='21' | fill=5 | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A28 | value='Delivery Care' | fill=FF00B050 | rows=[27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C28 | value='Health Facility Delivery' | fill=FF00B050 | rows=[27] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D28 | value='27' | fill=2 | rows=[27] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E28 | value='22' | fill=2 | rows=[27] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C29 | value='Clean birth environment' | fill=FF00B050 | rows=[28] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D29 | value='28' | fill=2 | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E29 | value='23' | fill=2 | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C30 | value='Immediate drying and additional stimulation' | fill=FF00B050 | rows=[29] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D30 | value='29' | fill=2 | rows=[29] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E30 | value='39' | fill=2 | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C31 | value='Thermal protection' | fill=FF00B050 | rows=[30] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D31 | value='30' | fill=2 | rows=[30] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E31 | value='40' | fill=2 | rows=[30] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C32 | value='Clean cord care' | fill=FF00B050 | rows=[31] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D32 | value='31' | fill=2 | rows=[31] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E32 | value='41' | fill=2 | rows=[31] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C33 | value='Manual removal of placenta' | fill=FF00B050 | rows=[32] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D33 | value='32' | fill=2 | rows=[32] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E33 | value='24' | fill=2 | rows=[32] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C34 | value='Parenteral administration of anti-convulsants' | fill=FF00B050 | rows=[33] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D34 | value='33' | fill=2 | rows=[33] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E34 | value='25' | fill=2 | rows=[33] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C35 | value='Antibiotics for preterm or prolonged PROM' | fill=FF00B050 | rows=[34] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D35 | value='34' | fill=2 | rows=[34] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E35 | value='26' | fill=2 | rows=[34] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C36 | value='Parenteral administration of antibiotics' | fill=FF00B050 | rows=[35] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D36 | value='35' | fill=2 | rows=[35] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E36 | value='27' | fill=2 | rows=[35] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C37 | value='Assisted vaginal delivery' | fill=FF00B050 | rows=[36] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D37 | value='36' | fill=2 | rows=[36] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E37 | value='28' | fill=2 | rows=[36] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C38 | value='Neonatal resuscitation' | fill=FF00B050 | rows=[37] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D38 | value='37' | fill=2 | rows=[37] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E38 | value='42' | fill=2 | rows=[37] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C39 | value='Parenteral administration of uterotonics' | fill=FF00B050 | rows=[38] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D39 | value='38' | fill=2 | rows=[38] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E39 | value='29' | fill=2 | rows=[38] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C40 | value='Removal of retained products of conception' | fill=FF00B050 | rows=[39] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D40 | value='39' | fill=2 | rows=[39] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E40 | value='30' | fill=2 | rows=[39] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C41 | value='Induction of labor for pregnancies lasting 41+ weeks' | fill=FF00B050 | rows=[40] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D41 | value='40' | fill=2 | rows=[40] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E41 | value='31' | fill=2 | rows=[40] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C42 | value='Antenatal corticosteroids for preterm labor' | fill=FF00B050 | rows=[41] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D42 | value='41' | fill=2 | rows=[41] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E42 | value='32' | fill=2 | rows=[41] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C43 | value='Cesarean delivery' | fill=FF00B050 | rows=[42] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D43 | value='42' | fill=2 | rows=[42] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E43 | value='36' | fill=2 | rows=[42] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C44 | value='Blood transfusion' | fill=FF00B050 | rows=[43] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D44 | value='43' | fill=2 | rows=[43] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E44 | value='37' | fill=2 | rows=[43] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A45 | value='Breastfeeding' | fill=FF00B050 | rows=[44] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C45 | value='Breastfeeding' | fill=FF00B050 | rows=[44] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D45 | value='44' | fill=None | rows=[44] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E45 | value='48' | fill=None | rows=[44] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A46 | value='Preventive Interventions' | fill=FF00B050 | rows=[45, 46, 47, 48, 49, 50, 51, 52, 53, 54] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B46 | value='Feeding and Supplements' | fill=FF00B050 | rows=[45, 46, 47, 48] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C46 | value='Complementary feeding - Education only' | fill=FF00B050 | rows=[45] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D46 | value='45' | fill=8 | rows=[45] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E46 | value='49' | fill=8 | rows=[45] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C47 | value='Complementary feeding - Supplementary feeding + Education' | fill=FF00B050 | rows=[46] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D47 | value='46' | fill=8 | rows=[46] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E47 | value='50' | fill=8 | rows=[46] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C48 | value='Vitamin A supplementation' | fill=FF00B050 | rows=[47] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D48 | value='47' | fill=8 | rows=[47] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E48 | value='61' | fill=8 | rows=[47] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C49 | value='Zinc supplementation' | fill=FF00B050 | rows=[48] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D49 | value='48' | fill=8 | rows=[48] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E49 | value='62' | fill=8 | rows=[48] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B50 | value='WASH' | fill=FF00B050 | rows=[49, 50, 51, 52, 53] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C50 | value='Basic sanitation' | fill=FF00B050 | rows=[49] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D50 | value='49' | fill=8 | rows=[49] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E50 | value='Not
Incl.' | fill=8 | rows=[49, 50, 51, 52, 53] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C51 | value='Point-of-use filtered water' | fill=FF00B050 | rows=[50] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D51 | value='50' | fill=8 | rows=[50] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell C52 | value='Piped water' | fill=FF00B050 | rows=[51] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D52 | value='51' | fill=8 | rows=[51] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell C53 | value='Hand washing with soap' | fill=FF00B050 | rows=[52] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D53 | value='52' | fill=8 | rows=[52] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell C54 | value='Hygienic disposal of children's stools' | fill=FF00B050 | rows=[53] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D54 | value='53' | fill=8 | rows=[53] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B55 | value='Other' | fill=FF00B050 | rows=[54] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C55 | value='ITN/IRS - Households protected from malaria' | fill=FF00B050 | rows=[54] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D55 | value='54' | fill=8 | rows=[54] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E55 | value='71' | fill=8 | rows=[54] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A56 | value='Vaccines' | fill=FF00B050 | rows=[55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C56 | value='BCG - Single dose' | fill=FF00B050 | rows=[55] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D56 | value='55' | fill=7 | rows=[55] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E56 | value='51' | fill=7 | rows=[55] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C57 | value='Polio - Three doses' | fill=FF00B050 | rows=[56] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D57 | value='56' | fill=7 | rows=[56] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E57 | value='52' | fill=7 | rows=[56] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C58 | value='Pentavalent' | fill=FF00B050 | rows=[57] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell C59 | value='DPT - Three doses' | fill=FF00B050 | rows=[58] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D59 | value='57' | fill=7 | rows=[58] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E59 | value='53' | fill=7 | rows=[58] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C60 | value='Hib - Three doses' | fill=FF00B050 | rows=[59] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D60 | value='58' | fill=7 | rows=[59] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E60 | value='54' | fill=7 | rows=[59] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C61 | value='HepB - Three doses' | fill=FF00B050 | rows=[60] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D61 | value='59' | fill=7 | rows=[60] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E61 | value='55' | fill=7 | rows=[60] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C62 | value='Pneumococcal - Three doses' | fill=FF00B050 | rows=[61] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D62 | value='60' | fill=7 | rows=[61] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E62 | value='56' | fill=7 | rows=[61] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C63 | value='Rotavirus - Two doses' | fill=FF00B050 | rows=[62] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D63 | value='61' | fill=7 | rows=[62] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E63 | value='57' | fill=7 | rows=[62] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C64 | value='Meningococcal A - Single dose' | fill=FF00B050 | rows=[63] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D64 | value='62' | fill=7 | rows=[63] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E64 | value='58' | fill=7 | rows=[63] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C65 | value='Malaria vaccine - Three doses' | fill=FF00B050 | rows=[64] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D65 | value='63' | fill=7 | rows=[64] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E65 | value='59' | fill=7 | rows=[64] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C66 | value='Measles - Single dose' | fill=FF00B050 | rows=[65] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D66 | value='64' | fill=7 | rows=[65] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E66 | value='60' | fill=7 | rows=[65] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A67 | value='Curative Interventions' | fill=FF00B050 | rows=[66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B67 | value='Maternal' | fill=FF00B050 | rows=[66] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C67 | value='Maternal sepsis case management' | fill=FF00B050 | rows=[66] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D67 | value='65' | fill=5 | rows=[66] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E67 | value='33' | fill=5 | rows=[66] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B68 | value='Neonatal' | fill=FF00B050 | rows=[67, 68, 69, 70, 71, 72, 73] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C68 | value='Case management of premature babies' | fill=FF00B050 | rows=[67] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell C69 | value='Kangaroo-Mother Care (KMC)' | fill=FF00B050 | rows=[68] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D69 | value='66' | fill=5 | rows=[68] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E69 | value='43' | fill=5 | rows=[68] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C70 | value='Full supportive care of prematurity' | fill=FF00B050 | rows=[69] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D70 | value='67' | fill=5 | rows=[69] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E70 | value='44' | fill=5 | rows=[69] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C71 | value='Case management of neonatal sepsis/pneumonia' | fill=FF00B050 | rows=[70] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell C72 | value='Oral antibiotics for neonatal sepsis' | fill=FF00B050 | rows=[71] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D72 | value='68' | fill=5 | rows=[71] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E72 | value='45' | fill=5 | rows=[71] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C73 | value='Injectable antibiotics for neonatal sepsis' | fill=FF00B050 | rows=[72] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D73 | value='69' | fill=5 | rows=[72] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E73 | value='46' | fill=5 | rows=[72] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C74 | value='Full supportive care for neonatal sepsis/pneumonia' | fill=FF00B050 | rows=[73] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D74 | value='70' | fill=5 | rows=[73] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E74 | value='47' | fill=5 | rows=[73] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B75 | value='Diarrhea' | fill=FF00B050 | rows=[74, 75, 76] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C75 | value='ORS - Oral Rehydration Solution' | fill=FF00B050 | rows=[74] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D75 | value='71' | fill=5 | rows=[74] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E75 | value='63' | fill=5 | rows=[74] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C76 | value='Antibiotics for treatment of dysentery' | fill=FF00B050 | rows=[75] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D76 | value='72' | fill=5 | rows=[75] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E76 | value='64' | fill=5 | rows=[75] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C77 | value='Zinc for treatment of diarrhea' | fill=FF00B050 | rows=[76] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D77 | value='73' | fill=5 | rows=[76] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E77 | value='65' | fill=5 | rows=[76] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B78 | value='Other infectious diseases' | fill=FF00B050 | rows=[77, 78, 79] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C78 | value='Oral antibiotics for pneumonia' | fill=FF00B050 | rows=[77] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D78 | value='74' | fill=5 | rows=[77] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E78 | value='66' | fill=5 | rows=[77] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C79 | value='Vitamin A for treatment of measles' | fill=FF00B050 | rows=[78] | cols=[2] | col_header=False | row_header=True | metadata=False
