=== economy-table77.xlsx ===
Cell C1 | value='2010' | fill=FFFFFF00 | rows=[0] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell A17 | value='France' | fill=FF00B050 | rows=[16] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C17 | value='1.29052945184749' | fill=None | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='1.08364368214398' | fill=None | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='-0.212768503919292' | fill=None | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False

=== economy-table77.xlsx ===
Cell C1 | value='2010' | fill=FFFFFF00 | rows=[0] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D1 | value='2011' | fill=FFFFFF00 | rows=[0] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E1 | value='2012' | fill=FFFFFF00 | rows=[0] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell A3 | value='Inflation (% change in GDP Deflator Each Year)' | fill=FFFFFF00 | rows=[2] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A4 | value='US' | fill=FF00B050 | rows=[3] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C4 | value='1.82343136629834' | fill=None | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='1.96073169640854' | fill=None | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='1.78566732786167' | fill=None | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A5 | value='Australia' | fill=FF00B050 | rows=[4] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C5 | value='6.47773279352231' | fill=None | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='2.85171102661592' | fill=None | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='-0.438309896377342' | fill=None | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A6 | value='Japan' | fill=FF00B050 | rows=[5] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C6 | value='-1.89075630252098' | fill=None | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='-1.82012847965741' | fill=None | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='-0.94998219211675' | fill=None | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A7 | value='UK' | fill=FF00B050 | rows=[6] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C7 | value='2.63729751086526' | fill=None | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='2.15571167356374' | fill=None | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='2.81933093935769' | fill=None | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A8 | value='Singapore' | fill=FF00B050 | rows=[7] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C8 | value='-1.6174402250352' | fill=None | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='0.187634024303041' | fill=None | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='-1.81346063960781' | fill=None | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A9 | value='France' | fill=FF00B050 | rows=[8] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C9 | value='1.47737765466296' | fill=None | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='1.45586897179257' | fill=None | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='1.56125194047345' | fill=None | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A11 | value='Real Wage (% change per year)' | fill=FFFFFF00 | rows=[10] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A12 | value='US' | fill=FF00B050 | rows=[11] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C12 | value='3.64901319808812' | fill=None | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='1.32462095095045' | fill=None | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='1.72485335832424' | fill=None | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A13 | value='Australia' | fill=FF00B050 | rows=[12] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C13 | value='-0.117145976899757' | fill=None | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='0.903778251175269' | fill=None | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='3.16488058077038' | fill=None | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A14 | value='Japan' | fill=FF00B050 | rows=[13] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C14 | value='4.53157624127647' | fill=None | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='2.84605114661149' | fill=None | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='1.23578399005824' | fill=None | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A15 | value='UK' | fill=FF00B050 | rows=[14] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C15 | value='1.50097368663369' | fill=None | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='0.533635368026175' | fill=None | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='1.97686532497365' | fill=None | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A16 | value='Singapore' | fill=FF00B050 | rows=[15] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C16 | value='10.367254193926' | fill=None | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='2.50198568434214' | fill=None | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='2.2194184156777' | fill=None | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A17 | value='France' | fill=FF00B050 | rows=[16] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C17 | value='1.29052945184749' | fill=None | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='1.08364368214398' | fill=None | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='-0.212768503919292' | fill=None | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False

