=== economy-table51.xlsx ===
Cell A1 | value='Actual Table' | fill=FFFFFF00 | rows=[0] | cols=[0, 1, 2] | col_header=True | row_header=True | metadata=False
Cell B6 | value='A01207' | fill=FF00B050 | rows=[5] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C6 | value='2687400' | fill=00000000 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A7 | value='TOTAL' | fill=00000000 | rows=[6] | cols=[0, 1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='96172472' | fill=00000000 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A8 | value='B' | fill=FF00B050 | rows=[7, 8, 9, 10, 11] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B8 | value='A01101' | fill=FF00B050 | rows=[7] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C8 | value='31336020' | fill=00000000 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B9 | value='A01158' | fill=FF00B050 | rows=[8] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C9 | value='0' | fill=00000000 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B10 | value='A01202' | fill=FF00B050 | rows=[9] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C10 | value='25717440' | fill=00000000 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B11 | value='A01203' | fill=FF00B050 | rows=[10] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C11 | value='42072852' | fill=00000000 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B12 | value='A01207' | fill=FF00B050 | rows=[11] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C12 | value='2745000' | fill=00000000 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A13 | value='TOTAL' | fill=00000000 | rows=[12] | cols=[0, 1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='101871312' | fill=00000000 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A14 | value='C' | fill=FF00B050 | rows=[13, 14, 15, 16, 17] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B14 | value='A01101' | fill=FF00B050 | rows=[13] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C14 | value='3924390' | fill=00000000 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B15 | value='A01158' | fill=FF00B050 | rows=[14] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C15 | value='0' | fill=00000000 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B16 | value='A01202' | fill=FF00B050 | rows=[15] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C16 | value='497760' | fill=00000000 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B17 | value='A01203' | fill=FF00B050 | rows=[16] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C17 | value='514452' | fill=00000000 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B18 | value='A01207' | fill=FF00B050 | rows=[17] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C18 | value='10800' | fill=00000000 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A19 | value='TOTAL' | fill=00000000 | rows=[18] | cols=[0, 1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='4947402' | fill=00000000 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False

