=== science-table71.xlsx ===
Cell C1 | value='Pr1' | fill=FFFFFF00 | rows=[0] | cols=[2, 3, 4] | col_header=True | row_header=False | metadata=False
Cell D8 | value='109.04' | fill=00000000 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='2180.8' | fill=00000000 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G8 | value='0.05' | fill=00000000 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='105.63' | fill=00000000 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='2112.6' | fill=00000000 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell K8 | value='0.03' | fill=00000000 | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='115.39' | fill=00000000 | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M8 | value='3846.33333333333' | fill=00000000 | rows=[7] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N8 | value='0.566981540861426' | fill=00000000 | rows=[7] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O8 | value='0.549250368316145' | fill=00000000 | rows=[7] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell A9 | value='Set 7' | fill=FF00B050 | rows=[8] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B9 | value='LPS 24h' | fill=FF00B050 | rows=[8] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C9 | value='0.05' | fill=00000000 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='33.77' | fill=00000000 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='675.4' | fill=00000000 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G9 | value='0.05' | fill=00000000 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='61.95' | fill=00000000 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='1239' | fill=00000000 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell K9 | value='0.03' | fill=00000000 | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='114.32' | fill=00000000 | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M9 | value='3810.66666666667' | fill=00000000 | rows=[8] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N9 | value='0.17723932820154' | fill=00000000 | rows=[8] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O9 | value='0.325139958012596' | fill=00000000 | rows=[8] | cols=[14] | col_header=False | row_header=False | metadata=False

=== science-table71.xlsx ===
Cell C1 | value='Pr1' | fill=FFFFFF00 | rows=[0] | cols=[2, 3, 4] | col_header=True | row_header=False | metadata=False
Cell G1 | value='Pr2' | fill=FFFFFF00 | rows=[0] | cols=[6, 7, 8] | col_header=True | row_header=False | metadata=False
Cell K1 | value='Oct1 probe' | fill=FFFFFF00 | rows=[0] | cols=[10, 11, 12] | col_header=True | row_header=False | metadata=False
Cell N1 | value='Pr1/Oct1' | fill=FFFFFF00 | rows=[0] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O1 | value='Pr2/Oct1' | fill=FFFFFF00 | rows=[0] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell C2 | value='Area' | fill=FFFFFF00 | rows=[1] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D2 | value='Intensity' | fill=FFFFFF00 | rows=[1] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E2 | value='Intensity/Area' | fill=FFFFFF00 | rows=[1] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell G2 | value='Area' | fill=FFFFFF00 | rows=[1] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H2 | value='Intensity' | fill=FFFFFF00 | rows=[1] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I2 | value='Intensity/Area' | fill=FFFFFF00 | rows=[1] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell K2 | value='Area' | fill=FFFFFF00 | rows=[1] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L2 | value='Intensity' | fill=FFFFFF00 | rows=[1] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M2 | value='Intensity/Area' | fill=FFFFFF00 | rows=[1] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell A3 | value='Set 1' | fill=FF00B050 | rows=[2] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B3 | value='LPS 0h' | fill=FF00B050 | rows=[2] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C3 | value='0.05' | fill=00000000 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='40.62' | fill=00000000 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='812.4' | fill=00000000 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G3 | value='0.05' | fill=00000000 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='51.36' | fill=00000000 | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='1027.2' | fill=00000000 | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell K3 | value='0.03' | fill=00000000 | rows=[2] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L3 | value='129.2' | fill=00000000 | rows=[2] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M3 | value='4306.66666666667' | fill=00000000 | rows=[2] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N3 | value='0.188637770897833' | fill=00000000 | rows=[2] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O3 | value='0.238513931888545' | fill=00000000 | rows=[2] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell A4 | value='Set 2' | fill=FF00B050 | rows=[3] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B4 | value='LPS 0.5 h' | fill=FF00B050 | rows=[3] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C4 | value='0.05' | fill=00000000 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='159.34' | fill=00000000 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='3186.8' | fill=00000000 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G4 | value='0.05' | fill=00000000 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='189.37' | fill=00000000 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='3787.4' | fill=00000000 | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell K4 | value='0.03' | fill=00000000 | rows=[3] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L4 | value='160.36' | fill=00000000 | rows=[3] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M4 | value='5345.33333333333' | fill=00000000 | rows=[3] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N4 | value='0.596183586929409' | fill=00000000 | rows=[3] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O4 | value='0.708543277625343' | fill=00000000 | rows=[3] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell A5 | value='Set 3' | fill=FF00B050 | rows=[4] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B5 | value='LPS 1h' | fill=FF00B050 | rows=[4] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C5 | value='0.05' | fill=00000000 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='189.48' | fill=00000000 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='3789.6' | fill=00000000 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G5 | value='0.05' | fill=00000000 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='186.81' | fill=00000000 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='3736.2' | fill=00000000 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell K5 | value='0.03' | fill=00000000 | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='108.57' | fill=00000000 | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M5 | value='3619' | fill=00000000 | rows=[4] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N5 | value='1.0471400939486' | fill=00000000 | rows=[4] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O5 | value='1.03238463663996' | fill=00000000 | rows=[4] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell A6 | value='Set 4' | fill=FF00B050 | rows=[5] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B6 | value='LPS 3h' | fill=FF00B050 | rows=[5] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C6 | value='0.05' | fill=00000000 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='179.32' | fill=00000000 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='3586.4' | fill=00000000 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G6 | value='0.05' | fill=00000000 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='172.91' | fill=00000000 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='3458.2' | fill=00000000 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell K6 | value='0.03' | fill=00000000 | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L6 | value='123.35' | fill=00000000 | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M6 | value='4111.66666666667' | fill=00000000 | rows=[5] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N6 | value='0.872249695987029' | fill=00000000 | rows=[5] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O6 | value='0.841070125658695' | fill=00000000 | rows=[5] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell A7 | value='Set 5' | fill=FF00B050 | rows=[6] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B7 | value='LPS 6h' | fill=FF00B050 | rows=[6] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C7 | value='0.05' | fill=00000000 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='150.8' | fill=00000000 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='3016' | fill=00000000 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G7 | value='0.05' | fill=00000000 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='162.27' | fill=00000000 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='3245.4' | fill=00000000 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell K7 | value='0.03' | fill=00000000 | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='121.22' | fill=00000000 | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M7 | value='4040.66666666667' | fill=00000000 | rows=[6] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N7 | value='0.746411483253588' | fill=00000000 | rows=[6] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O7 | value='0.803184293020954' | fill=00000000 | rows=[6] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell A8 | value='Set 6' | fill=FF00B050 | rows=[7] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B8 | value='LPS 12h' | fill=FF00B050 | rows=[7] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C8 | value='0.05' | fill=00000000 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='109.04' | fill=00000000 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='2180.8' | fill=00000000 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G8 | value='0.05' | fill=00000000 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='105.63' | fill=00000000 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='2112.6' | fill=00000000 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell K8 | value='0.03' | fill=00000000 | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='115.39' | fill=00000000 | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M8 | value='3846.33333333333' | fill=00000000 | rows=[7] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N8 | value='0.566981540861426' | fill=00000000 | rows=[7] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O8 | value='0.549250368316145' | fill=00000000 | rows=[7] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell A9 | value='Set 7' | fill=FF00B050 | rows=[8] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B9 | value='LPS 24h' | fill=FF00B050 | rows=[8] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C9 | value='0.05' | fill=00000000 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='33.77' | fill=00000000 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='675.4' | fill=00000000 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G9 | value='0.05' | fill=00000000 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='61.95' | fill=00000000 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='1239' | fill=00000000 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell K9 | value='0.03' | fill=00000000 | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='114.32' | fill=00000000 | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M9 | value='3810.66666666667' | fill=00000000 | rows=[8] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N9 | value='0.17723932820154' | fill=00000000 | rows=[8] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O9 | value='0.325139958012596' | fill=00000000 | rows=[8] | cols=[14] | col_header=False | row_header=False | metadata=False

